"","mirna.names"
"486","hsa.miR.3187.1"
"487","hsa.miR.3187..1"
"488","hsa.miR.3189.1"
"489","hsa.miR.3189..1"
"490","hsa.miR.3193.1"
"491","hsa.miR.3193..1"
"492","hsa.miR.3194.3p.1"
"493","hsa.miR.3194.5p.1"
"494","hsa.miR.3198.1"
"495","hsa.miR.3198..1"
"496","hsa.miR.32.1"
"497","hsa.miR.32..1"
"498","hsa.miR.320.RNASEN.1"
"499","hsa.miR.320..RNASEN.1"
"500","hsa.miR.3200.1"
"501","hsa.miR.3200..1"
"502","hsa.miR.323a.1"
"503","hsa.miR.323a..1"
"504","hsa.miR.323b.1"
"505","hsa.miR.323b..1"
"506","hsa.miR.324.1"
"507","hsa.miR.324..1"
"508","hsa.miR.325.1"
"509","hsa.miR.325..1"
"510","hsa.miR.326.1"
"511","hsa.miR.326..1"
"512","hsa.miR.328.1"
"513","hsa.miR.328..1"
"514","hsa.miR.329.2..1"
"515","hsa.miR.329..2..1"
"516","hsa.miR.330.3p.1"
"517","hsa.miR.330.5p.1"
"518","hsa.miR.331.1"
"519","hsa.miR.331..1"
"520","hsa.miR.335.3p.1"
"521","hsa.miR.335.5p.1"
"522","hsa.miR.337.1"
"523","hsa.miR.337..1"
"524","hsa.miR.338.3p.1"
"525","hsa.miR.338.5p.1"
"526","hsa.miR.339.3p.1"
"527","hsa.miR.339.5p.1"
"528","hsa.miR.33a.1"
"529","hsa.miR.33a..1"
"530","hsa.miR.33b.1"
"531","hsa.miR.33b..1"
"532","hsa.miR.340.1"
"533","hsa.miR.340..1"
"534","hsa.miR.342.1"
"535","hsa.miR.342..1"
"536","hsa.miR.345.1"
"537","hsa.miR.345..1"
"538","hsa.miR.346.1"
"539","hsa.miR.346..1"
"540","hsa.miR.34a.1"
"541","hsa.miR.34a..1"
"542","hsa.miR.34b.1"
"543","hsa.miR.34b..1"
"544","hsa.miR.34c.1"
"545","hsa.miR.34c..1"
"546","hsa.miR.3605.3p.1"
"547","hsa.miR.3605.5p.1"
"548","hsa.miR.361.3p.1"
"549","hsa.miR.361.5p.1"
"550","hsa.miR.3611.1"
